risk_id,assessment_date_key,event_count,total_net_loss,avg_net_loss,impact_score,probability_score_1_5,control_effectiveness,inherent_risk_score,residual_risk_score
RISK-002,20210301,4,35136.04,8784.01,2,3,0.574384236453202,6,3.75
RISK-002,20210401,2,30535.4,15267.7,2,2,0.574384236453202,4,2.5
RISK-002,20210501,4,32344.059999999998,8086.014999999999,2,3,0.574384236453202,6,3.75
RISK-002,20210601,1,12578.27,12578.27,2,1,0.574384236453202,2,1.25
RISK-002,20210701,2,18560.89,9280.445,2,2,0.574384236453202,4,2.5
RISK-002,20210801,2,600476.48,300238.24,4,2,0.574384236453202,8,5.0
RISK-002,20210901,4,689516.53,172379.1325,3,3,0.574384236453202,9,5.63
RISK-002,20211001,2,120434.28,60217.14,3,2,0.574384236453202,6,3.75
RISK-002,20211101,6,111343.87,18557.311666666665,2,4,0.574384236453202,8,5.0
RISK-002,20211201,5,87882.48999999999,17576.498,2,4,0.574384236453202,8,5.0
RISK-002,20220101,4,34146.41,8536.6025,2,3,0.574384236453202,6,3.75
RISK-002,20220201,4,291934.56999999995,72983.64249999999,3,3,0.574384236453202,9,5.63
RISK-002,20220301,3,405446.20999999996,135148.73666666666,3,3,0.574384236453202,9,5.63
RISK-002,20220401,6,728016.94,121336.15666666666,3,4,0.574384236453202,12,7.51
RISK-002,20220501,3,579212.89,193070.96333333335,3,3,0.574384236453202,9,5.63
RISK-002,20220601,3,44936.28,14978.76,2,3,0.574384236453202,6,3.75
RISK-002,20220701,1,5750.75,5750.75,2,1,0.574384236453202,2,1.25
RISK-002,20220801,3,190942.62,63647.54,3,3,0.574384236453202,9,5.63
RISK-002,20221001,3,60642.9,20214.3,3,3,0.574384236453202,9,5.63
RISK-002,20221101,2,6277.42,3138.71,2,2,0.574384236453202,4,2.5
RISK-002,20221201,5,109634.3,21926.86,3,4,0.574384236453202,12,7.51
RISK-002,20230101,3,20254.12,6751.373333333333,2,3,0.574384236453202,6,3.75
RISK-002,20230201,3,1480768.94,493589.64666666667,4,3,0.574384236453202,12,7.51
RISK-002,20230301,5,43330.89,8666.178,2,4,0.574384236453202,8,5.0
RISK-002,20230401,1,242836.86,242836.86,4,1,0.574384236453202,4,2.5
RISK-002,20230501,1,20510.01,20510.01,3,1,0.574384236453202,3,1.88
RISK-002,20230601,5,172086.84,34417.368,3,4,0.574384236453202,12,7.51
RISK-002,20230701,5,617775.2100000001,123555.04200000002,3,4,0.574384236453202,12,7.51
RISK-002,20230801,2,136288.35,68144.175,3,2,0.574384236453202,6,3.75
RISK-002,20231001,4,147099.69,36774.9225,3,3,0.574384236453202,9,5.63
RISK-002,20231101,3,22041.09,7347.03,2,3,0.574384236453202,6,3.75
RISK-002,20231201,5,81547.14,16309.428,2,4,0.574384236453202,8,5.0
RISK-002,20240101,8,137970.88999999998,17246.361249999998,2,5,0.574384236453202,10,6.26
RISK-002,20240301,2,26799.58,13399.79,2,2,0.574384236453202,4,2.5
RISK-002,20240401,2,6828.42,3414.21,2,2,0.574384236453202,4,2.5
RISK-002,20240501,4,364821.87,91205.4675,3,3,0.574384236453202,9,5.63
RISK-003,20190101,4,69835.59,17458.8975,2,3,0.5623762376237624,6,3.83
RISK-003,20190201,2,15145.05,7572.525,2,2,0.5623762376237624,4,2.55
RISK-003,20190301,6,1299677.27,216612.87833333333,3,4,0.5623762376237624,12,7.65
RISK-003,20190401,5,131344.97,26268.994,3,4,0.5623762376237624,12,7.65
RISK-003,20190501,4,140354.88,35088.72,3,3,0.5623762376237624,9,5.74
RISK-003,20190601,3,374196.02999999997,124732.01,3,3,0.5623762376237624,9,5.74
RISK-003,20190701,3,124965.70000000001,41655.23333333334,3,3,0.5623762376237624,9,5.74
RISK-003,20190801,4,33609.31,8402.3275,2,3,0.5623762376237624,6,3.83
RISK-003,20190901,1,8418.74,8418.74,2,1,0.5623762376237624,2,1.28
RISK-003,20191001,3,149030.69,49676.89666666667,3,3,0.5623762376237624,9,5.74
RISK-003,20191101,5,47954.93,9590.986,2,4,0.5623762376237624,8,5.1
RISK-003,20191201,6,1019927.2,169987.86666666667,3,4,0.5623762376237624,12,7.65
RISK-003,20200101,3,16907.8,5635.933333333333,2,3,0.5623762376237624,6,3.83
RISK-003,20200201,1,34916.22,34916.22,3,1,0.5623762376237624,3,1.91
RISK-003,20200301,2,74134.02,37067.01,3,2,0.5623762376237624,6,3.83
RISK-003,20200401,2,54938.31,27469.155,3,2,0.5623762376237624,6,3.83
RISK-003,20200501,2,1595077.15,797538.575,4,2,0.5623762376237624,8,5.1
RISK-003,20200601,1,28322.23,28322.23,3,1,0.5623762376237624,3,1.91
RISK-003,20200701,2,22962.219999999998,11481.109999999999,2,2,0.5623762376237624,4,2.55
RISK-003,20200901,2,127338.68,63669.34,3,2,0.5623762376237624,6,3.83
RISK-003,20201001,1,37792.95,37792.95,3,1,0.5623762376237624,3,1.91
RISK-003,20201101,4,211808.5,52952.125,3,3,0.5623762376237624,9,5.74
RISK-003,20201201,4,841060.33,210265.0825,3,3,0.5623762376237624,9,5.74
RISK-003,20210101,6,137650.52,22941.75333333333,3,4,0.5623762376237624,12,7.65
RISK-003,20210201,4,118483.35,29620.8375,3,3,0.5623762376237624,9,5.74
RISK-003,20210301,3,39634.94,13211.646666666667,2,3,0.5623762376237624,6,3.83
RISK-003,20210401,5,679121.9199999999,135824.384,3,4,0.5623762376237624,12,7.65
RISK-003,20210501,5,246095.78000000003,49219.156,3,4,0.5623762376237624,12,7.65
RISK-003,20210601,2,776635.0700000001,388317.53500000003,4,2,0.5623762376237624,8,5.1
RISK-003,20210701,5,697825.9800000001,139565.19600000003,3,4,0.5623762376237624,12,7.65
RISK-003,20210801,4,26241.46,6560.365,2,3,0.5623762376237624,6,3.83
RISK-003,20210901,3,537472.69,179157.56333333332,3,3,0.5623762376237624,9,5.74
RISK-003,20211001,2,9905.240000000002,4952.620000000001,2,2,0.5623762376237624,4,2.55
RISK-003,20211101,3,160257.09,53419.03,3,3,0.5623762376237624,9,5.74
RISK-003,20211201,6,1958003.04,326333.84,4,4,0.5623762376237624,16,10.2
RISK-003,20220101,3,193722.02,64574.00666666666,3,3,0.5623762376237624,9,5.74
RISK-003,20220201,2,766875.3099999999,383437.65499999997,4,2,0.5623762376237624,8,5.1
RISK-003,20220301,1,221609.07,221609.07,4,1,0.5623762376237624,4,2.55
RISK-003,20220401,5,550913.38,110182.676,3,4,0.5623762376237624,12,7.65
RISK-003,20220501,1,4781.9,4781.9,2,1,0.5623762376237624,2,1.28
RISK-003,20220601,1,6926.48,6926.48,2,1,0.5623762376237624,2,1.28
RISK-003,20220701,1,2358.23,2358.23,2,1,0.5623762376237624,2,1.28
RISK-003,20220801,1,5724.57,5724.57,2,1,0.5623762376237624,2,1.28
RISK-003,20220901,2,115565.01000000001,57782.505000000005,3,2,0.5623762376237624,6,3.83
RISK-003,20221001,2,55004.1,27502.05,3,2,0.5623762376237624,6,3.83
RISK-003,20221101,4,2817383.41,704345.8525,4,3,0.5623762376237624,12,7.65
RISK-003,20221201,3,50997.91,16999.303333333333,2,3,0.5623762376237624,6,3.83
RISK-003,20230101,4,32262.68,8065.67,2,3,0.5623762376237624,6,3.83
RISK-003,20230201,6,61599.78,10266.63,2,4,0.5623762376237624,8,5.1
RISK-003,20230301,6,648027.98,108004.66333333333,3,4,0.5623762376237624,12,7.65
RISK-003,20230401,2,3314.11,1657.055,1,2,0.5623762376237624,2,1.28
RISK-003,20230501,5,79243.91,15848.782000000001,2,4,0.5623762376237624,8,5.1
RISK-003,20230601,5,703894.61,140778.922,3,4,0.5623762376237624,12,7.65
RISK-003,20230701,4,663752.61,165938.1525,3,3,0.5623762376237624,9,5.74
RISK-003,20230801,2,137959.85,68979.925,3,2,0.5623762376237624,6,3.83
RISK-003,20230901,3,103681.52,34560.50666666667,3,3,0.5623762376237624,9,5.74
RISK-003,20231001,7,815169.18,116452.74,3,4,0.5623762376237624,12,7.65
RISK-003,20231101,1,3588.66,3588.66,2,1,0.5623762376237624,2,1.28
RISK-003,20231201,1,131933.16,131933.16,3,1,0.5623762376237624,3,1.91
RISK-003,20240101,1,9517.64,9517.64,2,1,0.5623762376237624,2,1.28
RISK-003,20240201,2,11101.380000000001,5550.6900000000005,2,2,0.5623762376237624,4,2.55
RISK-003,20240301,2,73067.69,36533.845,3,2,0.5623762376237624,6,3.83
RISK-003,20240401,2,9403.619999999999,4701.8099999999995,2,2,0.5623762376237624,4,2.55
RISK-003,20240501,2,27341.739999999998,13670.869999999999,2,2,0.5623762376237624,4,2.55
RISK-003,20240601,3,112051.25,37350.416666666664,3,3,0.5623762376237624,9,5.74
RISK-004,20190101,4,37827.72,9456.93,2,3,0.62,6,3.48
RISK-004,20190201,3,1151575.95,383858.64999999997,4,3,0.62,12,6.96
RISK-004,20190301,3,151764.05,50588.01666666666,3,3,0.62,9,5.22
RISK-004,20190401,1,162730.48,162730.48,3,1,0.62,3,1.74
RISK-004,20190501,4,496315.87,124078.9675,3,3,0.62,9,5.22
RISK-004,20190601,8,396423.45,49552.93125,3,5,0.62,15,8.7
RISK-004,20190701,9,1218993.5,135443.72222222222,3,5,0.62,15,8.7
RISK-004,20190801,1,4411.84,4411.84,2,1,0.62,2,1.16
RISK-004,20190901,1,104461.29,104461.29,3,1,0.62,3,1.74
RISK-004,20191001,2,20363.71,10181.855,2,2,0.62,4,2.32
RISK-004,20191101,4,63928.630000000005,15982.157500000001,2,3,0.62,6,3.48
RISK-004,20191201,4,84355.75,21088.9375,3,3,0.62,9,5.22
RISK-004,20200101,2,9513.55,4756.775,2,2,0.62,4,2.32
RISK-004,20200301,2,13230.66,6615.33,2,2,0.62,4,2.32
RISK-004,20200401,3,10637.09,3545.6966666666667,2,3,0.62,6,3.48
RISK-004,20200501,2,57461.14,28730.57,3,2,0.62,6,3.48
RISK-004,20200601,1,5884.45,5884.45,2,1,0.62,2,1.16
RISK-004,20200701,2,17918.53,8959.265,2,2,0.62,4,2.32
RISK-004,20200801,4,82844.41,20711.1025,3,3,0.62,9,5.22
RISK-004,20200901,1,3376.09,3376.09,2,1,0.62,2,1.16
RISK-004,20201001,2,46252.01,23126.005,3,2,0.62,6,3.48
RISK-004,20201101,2,12559.07,6279.535,2,2,0.62,4,2.32
RISK-004,20201201,2,19080.24,9540.12,2,2,0.62,4,2.32
RISK-004,20210101,3,189741.30999999997,63247.103333333325,3,3,0.62,9,5.22
RISK-004,20210201,2,240220.69,120110.345,3,2,0.62,6,3.48
RISK-004,20210301,2,23826.829999999998,11913.414999999999,2,2,0.62,4,2.32
RISK-004,20210401,1,19894.43,19894.43,3,1,0.62,3,1.74
RISK-004,20210501,4,98703.94,24675.985,3,3,0.62,9,5.22
RISK-004,20210601,1,4941.84,4941.84,2,1,0.62,2,1.16
RISK-004,20210701,4,14675.99,3668.9975,2,3,0.62,6,3.48
RISK-004,20210901,4,256050.44,64012.61,3,3,0.62,9,5.22
RISK-004,20211001,4,220384.69,55096.1725,3,3,0.62,9,5.22
RISK-004,20211101,3,712003.05,237334.35,4,3,0.62,12,6.96
RISK-004,20211201,6,670324.62,111720.77,3,4,0.62,12,6.96
RISK-004,20220101,3,450649.34,150216.44666666668,3,3,0.62,9,5.22
RISK-004,20220201,2,11032.48,5516.24,2,2,0.62,4,2.32
RISK-004,20220301,1,6053.31,6053.31,2,1,0.62,2,1.16
RISK-004,20220401,5,286535.24,57307.047999999995,3,4,0.62,12,6.96
RISK-004,20220501,2,194507.7,97253.85,3,2,0.62,6,3.48
RISK-004,20220601,1,45255.01,45255.01,3,1,0.62,3,1.74
RISK-004,20220701,2,305457.23,152728.615,3,2,0.62,6,3.48
RISK-004,20220801,3,68456.69,22818.896666666667,3,3,0.62,9,5.22
RISK-004,20220901,3,199758.11,66586.03666666667,3,3,0.62,9,5.22
RISK-004,20221001,5,257644.63,51528.926,3,4,0.62,12,6.96
RISK-004,20230101,3,18058.239999999998,6019.413333333333,2,3,0.62,6,3.48
RISK-004,20230301,3,23450.96,7816.986666666667,2,3,0.62,6,3.48
RISK-004,20230401,4,23035.579999999998,5758.8949999999995,2,3,0.62,6,3.48
RISK-004,20230501,2,50993.880000000005,25496.940000000002,3,2,0.62,6,3.48
RISK-004,20230601,2,215247.93,107623.965,3,2,0.62,6,3.48
RISK-004,20230701,3,172872.96000000002,57624.32000000001,3,3,0.62,9,5.22
RISK-004,20230801,3,327896.2,109298.73333333334,3,3,0.62,9,5.22
RISK-004,20230901,4,163479.44,40869.86,3,3,0.62,9,5.22
RISK-004,20231001,2,14895.4,7447.7,2,2,0.62,4,2.32
RISK-004,20231101,5,1884889.1400000001,376977.82800000004,4,4,0.62,16,9.28
RISK-004,20231201,1,10911.7,10911.7,2,1,0.62,2,1.16
RISK-004,20240101,1,5549.97,5549.97,2,1,0.62,2,1.16
RISK-004,20240201,5,89952.04,17990.408,2,4,0.62,8,4.64
RISK-004,20240301,2,5751.21,2875.605,2,2,0.62,4,2.32
RISK-004,20240401,5,49668.65,9933.73,2,4,0.62,8,4.64
RISK-004,20240501,3,83743.7,27914.566666666666,3,3,0.62,9,5.22
RISK-004,20240601,4,16763.019999999997,4190.754999999999,2,3,0.62,6,3.48
RISK-005,20190101,2,68372.37999999999,34186.189999999995,3,2,0.611049723756906,6,3.53
RISK-005,20190201,2,539783.38,269891.69,4,2,0.611049723756906,8,4.71
RISK-005,20190301,5,182605.8,36521.159999999996,3,4,0.611049723756906,12,7.07
RISK-005,20190401,2,9723.46,4861.73,2,2,0.611049723756906,4,2.36
RISK-005,20190501,3,65562.79000000001,21854.263333333336,3,3,0.611049723756906,9,5.3
RISK-005,20190601,1,619.75,619.75,1,1,0.611049723756906,1,0.59
RISK-005,20190701,1,17509.61,17509.61,2,1,0.611049723756906,2,1.18
RISK-005,20190801,3,1286880.81,428960.27,4,3,0.611049723756906,12,7.07
RISK-005,20190901,4,201920.36000000002,50480.090000000004,3,3,0.611049723756906,9,5.3
RISK-005,20191001,1,1124.86,1124.86,1,1,0.611049723756906,1,0.59
RISK-005,20191201,4,38035.56,9508.89,2,3,0.611049723756906,6,3.53
RISK-005,20200101,2,13412.7,6706.35,2,2,0.611049723756906,4,2.36
RISK-005,20200201,4,409118.72000000003,102279.68000000001,3,3,0.611049723756906,9,5.3
RISK-005,20200301,3,281996.14,93998.71333333333,3,3,0.611049723756906,9,5.3
RISK-005,20200401,5,43087.49,8617.498,2,4,0.611049723756906,8,4.71
RISK-005,20200501,4,13518.91,3379.7275,2,3,0.611049723756906,6,3.53
RISK-005,20200701,4,30540.079999999998,7635.0199999999995,2,3,0.611049723756906,6,3.53
RISK-005,20200801,4,864656.86,216164.215,3,3,0.611049723756906,9,5.3
RISK-005,20200901,4,202086.66,50521.665,3,3,0.611049723756906,9,5.3
RISK-005,20201001,1,6419.54,6419.54,2,1,0.611049723756906,2,1.18
RISK-005,20201101,3,10683.45,3561.15,2,3,0.611049723756906,6,3.53
RISK-005,20201201,4,39936.97,9984.2425,2,3,0.611049723756906,6,3.53
RISK-005,20210101,6,414821.73,69136.955,3,4,0.611049723756906,12,7.07
RISK-005,20210201,1,9784.28,9784.28,2,1,0.611049723756906,2,1.18
RISK-005,20210301,1,7900.04,7900.04,2,1,0.611049723756906,2,1.18
RISK-005,20210401,4,171140.66999999998,42785.167499999996,3,3,0.611049723756906,9,5.3
RISK-005,20210501,3,22889.2,7629.733333333334,2,3,0.611049723756906,6,3.53
RISK-005,20210601,3,22421.45,7473.816666666667,2,3,0.611049723756906,6,3.53
RISK-005,20210701,3,1778825.7900000003,592941.93,4,3,0.611049723756906,12,7.07
RISK-005,20210801,3,45732.91,15244.303333333335,2,3,0.611049723756906,6,3.53
RISK-005,20210901,2,113279.63,56639.815,3,2,0.611049723756906,6,3.53
RISK-005,20211001,4,255587.65,63896.9125,3,3,0.611049723756906,9,5.3
RISK-005,20211101,2,15071.46,7535.73,2,2,0.611049723756906,4,2.36
RISK-005,20211201,1,1706.34,1706.34,1,1,0.611049723756906,1,0.59
RISK-005,20220101,3,43620.53,14540.176666666666,2,3,0.611049723756906,6,3.53
RISK-005,20220201,4,1274988.85,318747.2125,4,3,0.611049723756906,12,7.07
RISK-005,20220301,1,14372.46,14372.46,2,1,0.611049723756906,2,1.18
RISK-005,20220401,8,136206.42,17025.8025,2,5,0.611049723756906,10,5.89
RISK-005,20220501,2,188637.63,94318.815,3,2,0.611049723756906,6,3.53
RISK-005,20220601,6,173574.65,28929.108333333334,3,4,0.611049723756906,12,7.07
RISK-005,20220701,3,27042.55,9014.183333333332,2,3,0.611049723756906,6,3.53
RISK-005,20221001,5,60974.21,12194.842,2,4,0.611049723756906,8,4.71
RISK-005,20221101,7,1460079.95,208582.85,3,4,0.611049723756906,12,7.07
RISK-005,20221201,4,89599.12,22399.78,3,3,0.611049723756906,9,5.3
RISK-005,20230101,2,60815.81,30407.905,3,2,0.611049723756906,6,3.53
RISK-005,20230201,1,21282.52,21282.52,3,1,0.611049723756906,3,1.77
RISK-005,20230301,4,252418.17,63104.5425,3,3,0.611049723756906,9,5.3
RISK-005,20230401,3,122452.04000000001,40817.34666666667,3,3,0.611049723756906,9,5.3
RISK-005,20230501,3,150510.52,50170.17333333333,3,3,0.611049723756906,9,5.3
RISK-005,20230601,1,5026.98,5026.98,2,1,0.611049723756906,2,1.18
RISK-005,20230701,4,162655.07,40663.7675,3,3,0.611049723756906,9,5.3
RISK-005,20230801,3,24871.14,8290.38,2,3,0.611049723756906,6,3.53
RISK-005,20230901,1,5776.45,5776.45,2,1,0.611049723756906,2,1.18
RISK-005,20231101,5,2315142.53,463028.50599999994,4,4,0.611049723756906,16,9.42
RISK-005,20231201,1,10040.74,10040.74,2,1,0.611049723756906,2,1.18
RISK-005,20240101,4,6237937.12,1559484.28,4,3,0.611049723756906,12,7.07
RISK-005,20240201,2,17907.23,8953.615,2,2,0.611049723756906,4,2.36
RISK-005,20240301,2,10600.27,5300.135,2,2,0.611049723756906,4,2.36
RISK-005,20240401,1,12292.27,12292.27,2,1,0.611049723756906,2,1.18
RISK-005,20240501,1,3630.53,3630.53,2,1,0.611049723756906,2,1.18
RISK-005,20240601,1,17265.37,17265.37,2,1,0.611049723756906,2,1.18
RISK-006,20190101,5,38678.18,7735.636,2,4,0.6127272727272728,8,4.7
RISK-006,20190201,3,52532.93,17510.976666666666,2,3,0.6127272727272728,6,3.52
RISK-006,20190301,2,134706.05,67353.025,3,2,0.6127272727272728,6,3.52
RISK-006,20190401,3,136950.5,45650.166666666664,3,3,0.6127272727272728,9,5.29
RISK-006,20190501,5,1855610.16,371122.032,4,4,0.6127272727272728,16,9.4
RISK-006,20190601,4,41784.15,10446.0375,2,3,0.6127272727272728,6,3.52
RISK-006,20190701,3,135721.91,45240.636666666665,3,3,0.6127272727272728,9,5.29
RISK-006,20190801,4,1248952.8399999999,312238.20999999996,4,3,0.6127272727272728,12,7.05
RISK-006,20191001,3,30280.019999999997,10093.339999999998,2,3,0.6127272727272728,6,3.52
RISK-006,20191101,5,287636.9,57527.380000000005,3,4,0.6127272727272728,12,7.05
RISK-006,20191201,6,743979.39,123996.565,3,4,0.6127272727272728,12,7.05
RISK-006,20200201,6,190460.83,31743.471666666665,3,4,0.6127272727272728,12,7.05
RISK-006,20200301,6,2566107.83,427684.63833333337,4,4,0.6127272727272728,16,9.4
RISK-006,20200401,2,5678.49,2839.245,2,2,0.6127272727272728,4,2.35
RISK-006,20200501,1,725339.8,725339.8,4,1,0.6127272727272728,4,2.35
RISK-006,20200601,1,34848.53,34848.53,3,1,0.6127272727272728,3,1.76
RISK-006,20200701,3,81042.08,27014.02666666667,3,3,0.6127272727272728,9,5.29
RISK-006,20200801,2,19823.48,9911.74,2,2,0.6127272727272728,4,2.35
RISK-006,20200901,5,20104.489999999998,4020.8979999999997,2,4,0.6127272727272728,8,4.7
RISK-006,20201001,2,19583.07,9791.535,2,2,0.6127272727272728,4,2.35
RISK-006,20201101,2,18854.510000000002,9427.255000000001,2,2,0.6127272727272728,4,2.35
RISK-006,20201201,7,391721.66,55960.23714285714,3,4,0.6127272727272728,12,7.05
RISK-006,20210101,6,103754.47,17292.411666666667,2,4,0.6127272727272728,8,4.7
RISK-006,20210201,2,39146.7,19573.35,3,2,0.6127272727272728,6,3.52
RISK-006,20210301,2,3349146.92,1674573.46,4,2,0.6127272727272728,8,4.7
RISK-006,20210401,4,45905.649999999994,11476.412499999999,2,3,0.6127272727272728,6,3.52
RISK-006,20210501,5,3272920.25,654584.05,4,4,0.6127272727272728,16,9.4
